April 2021: Expense Tracker
,Desc,Merchant,Reimbursable,My Business Expense,Payment Type,Actual Spent,,Conversion (USD),Subtotal
,,,,,,THB,USD,$0.03,
"Thursday, April 1, 2021",,,,,,,,,
,Work Email,Google,,,Credit Card: Chase Sapphire Reserve,,$	6.36,$0.00,$6.36
,Monthly Subscription: NYT,New York Times,,,Credit Card: Chase Sapphire Reserve,,$	4.00,$0.00,$4.00
Daily Total,,,,,,,,,$10.36
"Friday, April 2, 2021",,,,,,,,,
,Snacks,,,,Cash,THB 500.00,,$15.38,$15.38
Daily Total,,,,,,,,,$15.38
"Saturday, April 3, 2021",,,,,,,,,
,Vehicle Storage,Sentinel Self Storage,,,Credit Card: Chase Sapphire Reserve,,$	43.00,$0.00,$43.00
Daily Total,,,,,,,,,$43.00
"Sunday, April 4, 2021",,,,,,,,,
,Monthly Subscription: Formula1,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,$	10.59,$0.00,$10.59
Daily Total,,,,,,,,,$10.59
"Monday, April 5, 2021",,,,,,,,,
,Transfer Fee,Wise,,,Wise,,$	12.79,$0.00,$12.79
,Transfer Fee,Wise,,,PNC Bank Account,,$	6.20,$0.00,$6.20
Daily Total,,,,,,,,,$18.99
"Tuesday, April 6, 2021",,,,,,,,,
,,,,,,,,$0.00,$0.00
Daily Total,,,,,,,,,$0.00
"Wednesday, April 7, 2021",,,,,,,,,
,Room Cleaning,Eve,,,Bangkok Bank Account,THB 400.00,,$12.30,$12.30
Daily Total,,,,,,,,,$12.30
"Thursday, April 8, 2021",,,,,,,,,
,Movies: Back to the Future Trilogy,Apple iTunes,,,Credit Card: Chase Sapphire Reserve,,$	15.89,$0.00,$15.89
,Monthly Subscription: Paramount+,CBS,,,Credit Card: Chase Sapphire Reserve,,$	5.99,$0.00,$5.99
Daily Total,,,,,,,,,$21.88
"Friday, April 9, 2021",,,,,,,,,
,Remaining Hotel Bill,Lohas Residences,,,Cash,THB 246.00,,$7.57,$7.57
,Taxi to Airport,Lohas Residences,,,Cash,THB 500.00,,$15.38,$15.38
,Taxi to Condo,Grab,,,Bangkok Bank Account,THB 219.00,,$6.74,$6.74
,Groceries,TescoLotus,,,Credit Card: Chase Sapphire Reserve,,$	38.42,$0.00,$38.42
,Gas,PT Station,,,Cash,THB 220.00,,$6.77,$6.77
,Club Repairs,Cay’s Shop,,,Cash,THB 8000.00,,$246.08,$246.08
,Lunch,Annie’s Kitchen,,,Cash,THB 90.00,,$2.77,$2.77
,Groceries,Mae Hia Market,,,Cash,THB 290.00,,$8.92,$8.92
,Driving Range,Pimantip,,,Cash,THB 100.00,,$3.08,$3.08
